Text,labels
Hii I'm pannai setti Paiyanuga sorbaga Valthukkal,Non-sarcastic
"பட்டியல் சாதி மக்களும் திருமாவளவன் ரவுடி கும்பல் மீது கடும் கடுப்பில் இருப்பது இதில் பல command உணர்த்துகின்றது,, சமுதாய மக்களுக்கு நல்லது செய்யாமல் இளைஞர்களை தவறாக வழி நடத்தினால் யாருக்கு தான் கோபம் வராது",Non-sarcastic
சில விஷயங்கள் கேட்றத விட பார்க்கும்போது தான் 'தெறி'யா இருக்கும் சி மீ இன் ஆக்ஸ்ன் ...,Non-sarcastic
தமிழ்நாடு மருத்துவர்சமுதாய  பேரவை கோவை மாவட்டம்  சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.,Non-sarcastic
Entha makkal ninna kutham nadatha kutham nu unga mela sollitu irukkanga ....nega evalo good man nu 90s makkaluku therium,Sarcastic
Ulaga varalatru nayagan DHANUSH rasikan da,Non-sarcastic
Thala pola varuma  Thala eppavume mass Vera level,Non-sarcastic
Vivek mervin fan's like hits bro...,Non-sarcastic
Surya Anna vara vara vara leval  yuvan bgm Pakka masssssss,Non-sarcastic
Ultimate star ajith kumar,Non-sarcastic
Ithanu Makkale Nadippu Naayagal Kandu Padicho,Sarcastic
omg  she look like same,Non-sarcastic
Thala parthi sollava  venum eppavum thala tha,Non-sarcastic
Kongku velalar sarpaga padam win panna my wises,Non-sarcastic
நாடக காதல் நடத்துற அவங்க எல்லாம் கதறுங்க டா  மண்ணு_பொண்ணு_ரெண்டு_ஒன்னு_தான்  எதுல_கை_வச்சாலும்_வெட்டுவோம்! #திரௌபதி இயக்குனர் #மோகன்_ஜி அவர்களுக்கு #வாழ்த்துக்கள்,Non-sarcastic
செம்ம படம் வெளியாகும் போதே 100 டிக்கெட் நான் மட்டும் வாங்கி நண்பர்களுக்கு கொடுக்க போகிறேன்.நான் வெள்ளாளன்டா.  வாழ்த்துக்கள்.,Non-sarcastic
BEST WISHES FROM THALAPATHY FANS KERALA,Non-sarcastic
I think Rajnikant sir look like Iron man,Non-sarcastic
Hahaha sema comedy ah iruku.. Aji singing sng,Non-sarcastic
"டேய் கிலட்டு தேவிடியா அஜித் பசங்களா, நீங்க என்ன டா சொல்றது,   எங்க தளபதியோட நண்பன் சூர்யா'வோட சிங்கம் 3 வெற்றி பெற வாழ்த்துகிறோம்டா !!",Sarcastic
Pure Rajinism....! Thalaivar Rocks... # PettaPaarak,Sarcastic
Bairavaa feeel pa  Vjs evlo masssa panuvarunu naan edhur pakala Wishes from all #thalapathy fans.,Non-sarcastic
Massssss selvaa annaa yuvan suryaaa annaa semmaaaa,Non-sarcastic
பூமியில் வாழும் மனித ஜாதி சார்பாக வாழ்த்துக்கள்  edit: I'm supporter of all living beings...,Non-sarcastic
Thalaiavar mass pannirukaru polaye Vijay sethupathy ah sonna 🤣🤣,Non-sarcastic
காப்பான் திரைப்படம் அமோக வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
Na rasigan solla romba perumaiya iruku,Non-sarcastic
Yaar koi mujhe tamil aur telegu languages sikha do,Non-sarcastic
Bigilku ahppu ready saugada Vijay fans,Sarcastic
Paaaaaaa cmnt laa ellam jathi karanum intha padathuku vazhthukal lam soldranga oru jathi ya ethiriya vachii semaaaa orey oru edanjal THALITHtrailler mass,Non-sarcastic
Super ...sengunthar sarbaga vetri pera vazthukal,Non-sarcastic
+919348355136 dosto ye koi ladki mujhey parisan kar raha hai help me,Non-sarcastic
Ennada vayasukku vandha Annabelle madhiri irukka... 🤣🤣🤣,Non-sarcastic
Ayyo thala pakka pakka veri aagudhu,Sarcastic
Semma semma semma  Vaazhthukkal Dhanush from #ThalapathyFan,Non-sarcastic
"Simple ah sollanumna, marriage chinna visayam kedaiyaathu so marriage panra munnuku ayiram vaathi illa latcham vaathi yosinga. Unge valkaiyode serthu innoruthar valkaiyaiyum naasam panaatinge.",Non-sarcastic
Vijay sethpathi intha padathula irukanala onnum sollala poi tholinkada pem....,Non-sarcastic
Mankatha la start panni nerkonda parvai varaikum solt and pepper get up,Sarcastic
1:05 antha device peru enna ?,Sarcastic
Anyone watching now ?  India / Srilanka time 6.08 pm Malaysia / Singapore time 8.38 pm,Non-sarcastic
Mokkaiya iruku. Ellam avan seyal and arasaatchi ah copy adikura maatri iruku,Sarcastic
Rajini- am i joke to u ?,Sarcastic
Trailer paakkum pothu vikram nadicha thool movie story maathiri irukku..!! 🤔 🤔,Sarcastic
Thala  semaa  mass  gethu  india no.2 trending,Non-sarcastic
All time record in Tamil cinema,Non-sarcastic
Light taa saw padam maadhiri iruku,Sarcastic
trailer பார்த்துட்டு ஆய்த எழுத்து சூர்யா ஞாபகம்   வந்தா மட்டும் like போடுங்க,Non-sarcastic
Malayali illatha patt undo malayali machanmar ADI like,Non-sarcastic
Eduthu vainga da adutha national award,Sarcastic
Ippo Enna panna porom sweet sapda porom,Non-sarcastic
I am Vijay fans but kaithi supmovie,Non-sarcastic
24*7 தெலுங்கு செட்டியார் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்,Non-sarcastic
Sure in 5hrs will make 1M likes,Non-sarcastic
Luv u Surya  Soooooo Muchhhhhh,Non-sarcastic
பரியேறும் பெருமாள் அசுரன் இவை இரண்டும் திரைப்படமும்  என்னோட உரிமையைப் பறிக்கிற என்னோட சுதந்திரத்தை தடுக்கிற நான் இப்படித்தான் இருக்கணும்னு நினைக்கிற என்னை ஏன் அடிமைப் படுத்துகிறாய் இந்தக் கேள்வியை தானே முன்வைத்தான்......   என் பொண்ண காதலிக்காத நீ வேறு நான் வேறு சமத்துவம் இல்லை எனக்கு நீ அடிமைன்னு சொல்லவே இல்லையே   ஆனால் நீ மட்டும் ஏன் டா இப்படி ச்ச்சே.... நான் .........நான் ......நான் .....நான்னு நாய்க்கு லைசன்ஸ் போட்டது மாதிரி அடையாளம்,Non-sarcastic
"Konjam Odhingiru ,  Odi Pathingidi ,  Varadhu THALAIAVARU",Sarcastic
"இந்த வீடியோவை, டிஸ் லைக் பன்ன ஒரு நாய் கூட கமென்ட் போடலயே... ஒரு வேளை வயித்து எரிசல்ல டிஸ் லைக் போட்டு இருப்பானுகளோ......",Non-sarcastic
Commercial padam so kandippa blockbuster thaan ......,Non-sarcastic
Ipdi neraya neraya neraya padam nadikanum thala nee,Non-sarcastic
படம் உண்மையிலேயே ஒரு புது விதமா இருக்கு சொ கண்டிப்பா வெற்றி தா...தாறு மாறா இருக்குல்ல,Non-sarcastic
**tha thaaru maaru trailer... Like potutu tha paakave start panna,Non-sarcastic
Wow super simran 90s kids like pannunga....,Non-sarcastic
Anyone vettri maran sir fan like here,Non-sarcastic
கொங்குநாடு வேட்டுவகவுண்டர் சமுதாயத்தின் வாழ்த்துக்கள்..  நல்ல திரைப்படத்தை குறைந்தது 100 பேருக்காவது சொல்லி பார்க்க வைக்க வேண்டும்..,Non-sarcastic
Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it,Non-sarcastic
Trailer semma ya irukku kandippa idu blockbuster,Non-sarcastic
Indias pride ... Shankar Sir & Team...,Non-sarcastic
Otha ni yella thalaivar ah kalaikara mari ayite ille picchakara payale,Non-sarcastic
Ithu selvaragavan movie ah ila ARM da ivlo karuthu oosi podringa nala iruntha seri,Non-sarcastic
Eppa erukarah samugathuku edhu romba mukkiyamana padam dha beral level,Non-sarcastic
சீட்டிங் சீட்டாஸ்&ஓசிசோறு கைய்ஸ்: நாங்கள் நாடககாதல் கட்டபஞ்சாயத்துகள் செய்யவில்லை ஆதீ :,Sarcastic
sariya double ano surya watch mari mari krttunnu,Non-sarcastic
ore super star thalaivar Vera evanum,Sarcastic
Any one think  she look like sasikala 🤣🤣🤣,Non-sarcastic
Ayoooo... Maranam.. Semma.... U1 rocking......,Sarcastic
93K left for 600K likes,Non-sarcastic
Oru abaliyaa irrunthaa  anthaa Marii ponugalla maathii kattu daa pappoo ...,Sarcastic
ultimate starkku nu oru thani style erukku thalaivar ultimate star ajith yosichu paarunga thalaivar ultimate star namma ajith wait edhunala politics Ella yen manadhil ulladhai sonnen OK,Non-sarcastic
One day night la nadakkura story mathri iruku,Sarcastic
Antha amma epadi azhaga irupanga... Ithu pommai pola iruku,Non-sarcastic
eii...pongal ku evanavathu visuvasam kusuvasam nu vantha appadiyae oodi poiru kola kaandula irukaen**tha screen kilinchurum,Sarcastic
"Super star, thalabathi maari siva ku <super hero> apdinu pattam kodukalaam, correct ah irukum",Non-sarcastic
I am big fan of hiphop Tamizha Anna .but mee movies Telugu lo kudha grand release kavaali Anna.,Non-sarcastic
சாதி பெயரை சொல்லி கீழ்த்தர அரசியல் கட்டப்பஞ்சாயத்து செய்து பிழைக்கும் இழி பிறவிகளுக்கு இப்படம் ஒரு பாடமாக அமையட்டும்.,Non-sarcastic
pakka hari movie.... but dialogs than siripu sirippa varudhuuu,Sarcastic
Bgm vera level....full and full politics commercial movie....,Non-sarcastic
"பார்க்கவகுலம் (மூப்பனார், உடையார், நயினார்) சார்பாக மிகப்பெரிய வெற்றியடைய வாழ்த்துக்கள்.",Non-sarcastic
mass vijay   vijay is best,Non-sarcastic
ஒரு ஓவிய வரைபவன் தன் பிள்ளைக்கு என்ன சொல்லி கொடுப்பான் ஓவியம் வரைய.. என் அப்பன் மிலிட்ரி கோலி விளையாடவா சொல்லி கொடுப்பான்... செம மாஸ் பா சூர்யா அண்ணன்..,Non-sarcastic
Inn thanne 11m adikkum enn urappullavar like adi,Non-sarcastic
மாஸ்... எங்க ஊர் விழுப்புரம் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்...,Non-sarcastic
“Orutharu mela ninga viswasam katradhukaga innorathuru yen asinga paduthiringa” mass thala ninga,Sarcastic
இங்கே நடக்கிற யுத்தம் பறையர் vs ஆண்ட பரம்பரை என்று அனைவரும் நினைத்துக் கொண்டிருக்கிறீர்கள் ஆனால் இங்கே நடக்கிற யுத்தம் பெண்கள் vs ஆண்கள் என்பதுதான் இங்கே இத்தனை நாட்களாக சுயமாக முடிவு எடுக்கமுடியாமல் திணறி வந்த பெண்கள் இன்றைய சமூக மாற்றத்தால் தனக்கு பிடித்த ஆண்மகனை திருமணம் செய்துகொள்ளும் நிலைக்கு வந்துவிட்டார்கள் இதை ஒரு திரௌபதி அல்ல ஆயிரம் திரௌபதி வந்தாலும் தடுக்க முடியாது,Non-sarcastic
"Irukku,,,, padathula neraya transformers and terminator kadha irukku",Non-sarcastic
She looks more like a wax statue. Cringeeeeeeeee,Non-sarcastic
Surya sir endha Maathir acting ah unga Kitta paththu romba naal aachi....super,Non-sarcastic
தீரன் சின்னமலை  Protection force சார்பில் இந்த படம் வெற்றி பெற வாழ்த்துகள்,Non-sarcastic
செட்டியார் இனத்தின் சார்பாக இப்படம் வெற்றியடைய வாழ்த்துக்கிறேன்,Non-sarcastic
Engineer avanum miss...  Me: nenachan sirichan,Non-sarcastic
frist like panni teaser pathavanga ethana peru,Non-sarcastic
இலவு பழுக்காது  தமிழ் அழியாது நிலவு விழியாது  தமிழ் மறையாது  களவு அறியாது தமிழ் ஒழியாது ௭தற்கும் வீழாத தூய தமிழ் காண மக்கள் தொலைக்காட்சி நிகழ்ச்சிகளை யூ டியூப் ல் காணுங்கள் நன்றி.,Non-sarcastic
"Eppa kutti moonji... ALL THE BEST. Unakenna pa big screen le la varuva, naanga apdiya...",Sarcastic
Sema. ...  Kathirukirom... release kaga.,Non-sarcastic
omg anna super keep going massssssssssss,Non-sarcastic
கோயம்புத்தூர் மனித சாதி யின் சார்பாக வாழ்த்துக்கள்.,Non-sarcastic
Jai surya.  yadav. Jai jai...,Non-sarcastic
Lungi utha Kar gaad marwata hai Ajith🤣🤣🤣🤣🤣,Non-sarcastic
Thalaivaaa ...last la andha dance semma,Non-sarcastic
இந்த மாதிரி படம் எடுத்து விழிப்புணர்வு செய்யும் படம் வறவேற்கதக்கது.  வாழ்த்துக்கள்.,Non-sarcastic
Aduchutu sethupogada kadasila jaathi ah veachu padam eduthavan arasiyal panravan tha santhosama irrupa,Non-sarcastic
Surya Anna mass Vera level na neenga trailer semma  love you Surya Anna,Non-sarcastic
அனைத்து சமூகம் பெண்கள் பாராட்டும் திரை பார்வை திரௌபதி,Non-sarcastic
Ovorutharukum onathu mela bothai enaku en kudumbathu mela bothai   ithe mathi irunthuthu kadasi dialogue 🤔 but trailer,Non-sarcastic
Nice teaser ... Keep it up .... But anjaan movie mathiri paniraathinga....,Non-sarcastic
#Veera saiva jangamar Sarbaka #ippadam vetri vilzha kaana #Valzthukiroom,Non-sarcastic
திரைப்படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்  இளையராஜா இசையில் நான் தலைவணங்குகிறேன்,Non-sarcastic
"pure white , the king maker da, indian cinemala evanayavathu original lookla vara sollunga, handsome da enga thala",Sarcastic
Tharama sambavam only at Aug 8,Sarcastic
thala thala thala thala thala yennama iruka thala iyyo udambulam pathikuthu,Sarcastic
Ennappa comedya irukudhu   Very funny........,Sarcastic
எல்லாருடைய மனக்குமுறல்களாக இந்த படம் இருக்கும் என்று  தோன்றுகிறது\r கண்ண்டிப்பாக படம் (பாடம் ) வெற்றியடையும் சௌராஷ்டிரா சமுகத்தின் சார்பாக என் பாராட்டுக்கள் + வாழ்த்துக்கள்,Non-sarcastic
"publicity kumaru fans kadharals starts now , Thamizan VIjay da vera eveandaaaaaaaaaaaaaaaaaaaaaaaaaa",Sarcastic
Mukkal suru ith flop aaakum singam daww,Sarcastic
அண்ணா நீங்கள் படம்  திரையரங்குகளில் ரிலீஸ் பன்னாலும் சரி  you tube  ரிலீஸ் பன்னாலும் சரி. சொல்லவரும் கருத்தினை எங்கள் ஊரில் உள்ள அனைவரிடமும் சென்றடைய செய்வேன் இப்படிக்கு செஞ்சிக்கோட்டை ஜெயபாலன் சரத்குமார்,Non-sarcastic
Atlee be like :- naa eduka vendiya padam ..🤣 thuppakki sathiyan template,Non-sarcastic
sale hindu ki insult karta h..harmakhor kute...,Non-sarcastic
Marana mass  kappaan teaser thalaiva Nee vera level Ippoma Nee tha mass I LVE U surya Anna BGM pakka,Non-sarcastic
மனுசங்க சார்பா வாழ்த்துகள். All the best from Human fans,Sarcastic
ஒரே மண்ல பிறக்குறோம் ஒரே மொழி பேசுறோம். நண்பர்களே போதும்.. காற்றில் விஷம் பரவுகிறது... அக்கறையுடன் தமிழன்.. உடனே நீ அந்த குருப் இந்த குருப் னு வராதீங்க...அக்கினி குஞ்சொன்று கண்டேன்,Non-sarcastic
Yarupaa antha dislikesuu...  Antha tirumavalan p****pulligooo la tha erupanunga,Non-sarcastic
Nadippu mattum unkitae irundhu eduthukave mudiyathu thalaivaaa....,Non-sarcastic
I'm klaudias daughter I'm Indian and egiptston,Non-sarcastic
Vera level jayam ravi sir block buster hit,Non-sarcastic
Thala ya thavira vera yarum intha role ku set akathu,Sarcastic
பத்தல இன்னும் பெட்டெர் ஆ ட்ரை பண்ணுங்க,Non-sarcastic
Pure bharat ka no.1 hero chiyan Vikram,Non-sarcastic
Vera level ga niga vera level,Non-sarcastic
podu podu annaaaaa masssssuuu  chance lesssuuu,Non-sarcastic
Ennada SK paithiyakara maari dialogue pesama irukanenu paathan kadaisiya pesitan,Non-sarcastic
கிருஷ்ணாகிரி வன்னியர்கள் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்......,Non-sarcastic
Anyone here after NERKONDA PARVAI TRAILER,Non-sarcastic
Thambi Mazhil Vahanam Njan Thala Allai Thala Edukaravan...,Sarcastic
படம் வெற்றி பெற வாழ்த்துக்கள் அண்ணா நட்பு நாயகன் சசி,Non-sarcastic
"Jangan singgah di trending top di indonesia, sono ke negri india aja  kami tak mau dijajah india",Non-sarcastic
யாரெல்லாம் Comds வந்து இந்த படத்தை பத்தி அசிங்கமா பேசுரனோ.....ஒம்மல ஓக்க அவன்தான் ... நாடக காதல் ......,Non-sarcastic
After 24 movie dis movie impressed me lot,Non-sarcastic
Yuvan yuvan yuvan yuvan yuvan yappavumeee ni top dhan thalaivaa yuvan veriyan,Non-sarcastic
மாவீரர் .குரு அவர்கள் நல் ஆசியுடன் மற்றும் சந்தனா காடு வீரப்பன் துணையுடன் திரௌபதி வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
Marana Mass vera level vanniyan da,Non-sarcastic
Waste sai Pallavi make this movie utter flop,Non-sarcastic
India may peheli bar Hollywood jaisa usse bhi a66a kuch dekhne ko mila,Non-sarcastic
katta waiting 4 bhairava  thala pathi  uR  Great,Non-sarcastic
U1 bgm theri mass. Bgmukahavay movie paakkanum,Non-sarcastic
Talaiva super ... super ... super,Non-sarcastic
vj fans dislikes ku nae piranthavanga.  Mersal teaser ah namma dislike panratha pathutu ini avanunga ini vara ajith padathoda teaser & trailer ah dislike pannunum nu nenaaikavae koodathu. antha mathiri avanungaluku thirupi tharanum,Sarcastic
"Thalaivaaaaaa chance illa my god enna style, mass, gethu, nakkal ohh body fulla adurudu...Love u Thalaivaaaaaaa",Non-sarcastic
Are bc hindi mai kiya kro upload,Non-sarcastic
superb teaser by kanyakumari jilla vijay fanzzzzzzzzzzzzzzz,Non-sarcastic
enaku ennamo entha movie than dipawali theriga vida pokuthunu ninaikiran,Non-sarcastic
Eppovathu kathuna ok yepovumae kathuna yepadi da,Sarcastic
AR rahman music Vera level.......hollywood la kuda ipadi oru music ketu iruka mudiyathu.....Apadi oru BGM.......!!!!,Non-sarcastic
"Kaithi ye evlo masssa irukkey, thalapathy64 epddi irukkumo.....",Sarcastic
"இவ்வளவு வரவேற்பு இருக்குனா , எவ்வளவு பாதிப்பு இருந்திருக்கனும்..",Non-sarcastic
Theri takkaru doi.. Nee vaa Thalaivaa...,Non-sarcastic
ஏய்... யார ஏமாற்ற பார்க்குற இது 96 கலக்கல் சின்ன வயசுல ஒரு ஏரில குளிப்போம் அல்ல. சூப்பர் சிந்தனை டாக்டரின் மனைவியை பார்க்கும் இடம் மாஸ்,Sarcastic
Avunga Avangaloda Firstlook Celebrate Panatum Namma Namaloda Trailera Celebrate Pannalam,Non-sarcastic
"2020 நல்ல தரமான சம்பவம் இருக்கு, இன்னிமேதாண்டா எங்க முழு ஆட்டத்தையும் பாக்க போறீங்க",Non-sarcastic
அனைத்திந்திய விஸ்வ பிராமணர் சார்பாக இப்படம் வெற்றியடைய வாழ்த்துக்கள்...,Non-sarcastic
surya bhai iam big fan of surya,Non-sarcastic
நீங்க இசைத்தால் போதும்.இளிக்க வேண்டாம்.பாக்கவும் முடியல.கேட்கவும் முடியல.,Sarcastic
Nadodigal part 1 like  Nadodigal part 2 comment,Non-sarcastic
Thalaya intha mathiri nalla padathla innum neraya pakalam .,Non-sarcastic
intha dmk famliya vachu oru kathai ready panna mathiri irukku,Non-sarcastic
பிரபுதேவா எல்லாம் போலீஸ் 🤦‍🤦‍ சிரிப்பு தாங்கல  வேற வலி இல்ல. நானும் Like போட்டுட்டுடேன்......,Sarcastic
இப்படிப் படிச்ச பசங்க வேணாம் வேணாம்னு சொல்லி ஓடி ஓடி தான்யா நம்ம நாடு நாசமா போச்சு உண்மையான வசனம்.....,Non-sarcastic
Vera vera vera level thala top takker,Non-sarcastic
0:13 yara avan engineer aavanumnu sonnathu 🤫,Sarcastic
2019 best and all round movie... Selva - u1-suriYa......... Waiting nu sollata ila - kolla waiting sollata,Non-sarcastic
hello...epdi la panna thiga...mathavaga povo...epdi eduthirkae...paaaa....vivegam...vetri vagai sodum,Non-sarcastic
சூப்பர்.. அது சரி கமெண்ட் ல பார்த்தேன்.. இவ்வளவு பேர் பாதிக்கப்பட்டு இருக்கீங்க.. ஏன் ஒன்றும் செய்யாமல் இருக்கீங்க..,Non-sarcastic
Movie Paathuttu.... Trailer Paaka Vanthavanga.....🤗🤗 2020....,Non-sarcastic
Surya anna lalettan vera level,Non-sarcastic
1.56 yaru Instagram lae paathathu leak aanathu,Sarcastic
BGM THERIKKUTHU :* CUTE #BABY_SMILE GUD DIALOGUE DELIVER AWESOME STUNT SEQUENCES NICE MOMENTS DANCE & WITH KEERTHY SURESH 1 WORD #ILAYATHALAPATHY_VIJAY,Non-sarcastic
Thalaivaaa verithanam .........apdye chumma therikkavidra,Sarcastic
Nadipin Nayagan Suriya  Marana Waiting,Non-sarcastic
Any one after kaappan  like here,Non-sarcastic
Oru varshathuku 10 padam edukura mudhal hero,Sarcastic
Kaappaan vs saaho  Aug 30🤩,Non-sarcastic
Mayiru maari irukku  waiting for nithya Menon version,Non-sarcastic
Pandey thalaya vey ethirthu pesuriya goyala theatre pakkam varuva la va.......,Sarcastic
Romba naal achi suriya anna padam pathu kandipa sema enjoyment ah irukka pothu,Non-sarcastic
Padathukulla precharam panaaaa adhu communist films like malayalam cuba films. Padathaiye prechara medai aakunaaaa samuthirakani padam,Non-sarcastic
Pink 2 looks like who thinks ????,Sarcastic
Blue sattai review பாத்துட்டு வந்தவங்க like போடுங்க,Non-sarcastic
"Ini nadaga kadhal velaiku ,  Ini nadaga kadhal pannalum nadakka kall irukkadhu , , , , unaku kurumaa",Non-sarcastic
இதில் உள்ள comments   படித்த பிறகுதான் தெரிகிறது தமிழகத்தில் இன்னும் ஜாதி வெறிபிடித்த  நாய்கள் உள்ளார்கள் என்று.  இவர்கள் இருக்கும் வரை ஜாதி ஒழியாது.  சில நாய்கள்  பல ஜாதி வெறிநாய்களை  பயன்படுத்திக்கொள்வதல்  இன்னும் ஜாதி அழியாமல் உள்ளது மனிதனை மனிதனாக வாழவிடுங்கள் .....,Non-sarcastic
தேனி கம்மவார் நாயக்கர் சமூகம் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்...,Non-sarcastic
bairava teaser dhan mokkay na...Indha teaser adha Vida mokkay ah irruku...Teaser nalum Seri...Trailer nalum Seri...epodhum Thala dhan......Waiting fr #Ak 57 teaser...,Sarcastic
Thala va va va va va va va va va va  I am marana waiting on,Non-sarcastic
Neya naana fans hit like here nu vanga aprom irukuda ungaluku,Non-sarcastic
திருநெல்வேலி மறவர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
Bgm sema yuvan and selva sir like pandravanga like podunga,Non-sarcastic
Gethu kattanu atha thala mattu tha kattanu,Sarcastic
yaar hindi me realise karo i m big fan of varastile actor mr. chiyan vikram sir,Non-sarcastic
Last dialogue bigil link agra madiri irukunu nenaikuravanga like here,Non-sarcastic
Ithellam oru teaser ah....kaatu mokka  Thala fans enjoy,Sarcastic
வன்னியர் சார்பாக வாழ்துக்கள் கௌன்டர் சார்பாக வாழத்துக்கள் முக்குலத்தோர் சார்பாக வாழத்துக்கள் உங்க சாதி கூதில போட்டு நாய் ஒழக்க தேவிடியா பசங்கலா திரௌபதி கூதிபதி டைரக்டருக்கு கண்டிப்பா அடி இருக்குடா,Non-sarcastic
Naalaiya tamilaga cm udhai Anna and deputy cm in Anna,Sarcastic
