Text,labels
"Lalettante Adutha  100 Kodi ithayirikkum""odiyan""  enthaaa sheriyalle",Non-sarcastic
Happy bday Mega Star Mam mookkaaaaa,Non-sarcastic
"ഞാൻ പ്ലസ് ടു പഠിച്ച ഗോതുരുത്ത് സെന്റ് സെബാസ്റ്റ്യൻ hss ൽ ആണ് ഈ പടം ഷൂട്ട് ചെയ്തത്. എനിക്കും ഉണ്ടായിരുന്നു ആ വരാന്തകളിൽ ഇതുപോലെ തന്നെ ഒരു പ്രേമം, പ്ലസ് ടു പ്രേമം..  കട്ട വെയ്റ്റിങ് പടം കാണാൻ",Non-sarcastic
trailer ippozhe manassil orupaad thavana kand kazhinjavar like adiche...,Non-sarcastic
ഇവർ വീണ്ടും ചരിത്രം ആവർത്തിക്കുമോ 2019 ഓണം റിലീസ് മൂവീസ്,Non-sarcastic
supr ikka powli ..... padam supr arikkim urappaa.... ikka lve u ....,Non-sarcastic
Ennalum pattezhuthukkara than enthonu thengayado ezhuthivachekkuney.   Poyi vadakkan veeragadha and pazhassi raja songs imposition ezhuthi padikk,Sarcastic
Shreya Ghoshal .... M Jayachandran Rafeeq Ahmad Compo 🤗🤗,Non-sarcastic
Surajettan Pagaram tovino vannirunnengil pradheeksha koodiyene,Non-sarcastic
"Mass nnu paranjaa ikkayaanu.. MASTER of MASSES.. ""Adaar trailer"".. Mammookkaaa",Non-sarcastic
ചില തിന്മയെ ജയിക്കാൻ ദേവൻ അയാൾ പോരാ അതിനു അസുരൻ തന്നെ അവതരിക്കണം  *SHYLOCK *     *മവനെ കൊല ഗാണ്ടിലിറിക് കൊല്ലമേ വിടമാട്ടെ*,Non-sarcastic
Nadaka dialogue pole undallo avasanam filmum nadakamakumo.,Non-sarcastic
#Trailer pwolichuuuu ഓണത്തിന് വന്നങ്ങു തകർത്തേക്ക് ....,Non-sarcastic
ക്യാപ്റ്റൻ ജാക്ക് സ്പാരോ യുടെ വീഡിയോ വെച്ചാണോ കളിക്കുന്നത് വല്ലാതെ മണ്ടൻ ആക്കല്ലേ,Sarcastic
ഇതു ഒരു 100കോടി നേടുമോ ഇക്കാ നിങ്ങൾ 🤔🤔,Sarcastic
ഈ പ്രായത്തിലും ദാസേട്ടന്റെ ശബ്‌ദം  പിന്നെ ഈ പ്രീയത്തിലും ഇക്കേടാ ആക്ടിങ്,Non-sarcastic
Don't fall english song link here...kumbalangi nights,Non-sarcastic
Derik abraham vannu pwolii...bgm adaar item!!,Non-sarcastic
2019 let ettavum valya hit avum ennu urappullavar like,Non-sarcastic
Charitra cinima lalettan cheythal athu munnottu pokilla. In flopped,Sarcastic
Ee padam first day kanan pokunnavar like cheyyuka,Non-sarcastic
Nanjankotta ennu ee film nu per idaamayirunnu,Non-sarcastic
Aduta fahadkka anu mone ne...@shane nigam,Non-sarcastic
ഒരു വർഷം 2 പ്രാവശ്യം 100 കോടി ക്ലബിൽ..  ഒരേ ഒരു ചക്രവർത്തി..,Non-sarcastic
"No Malayalam Film Actor Like Mammokka always Image breaking , Raajamanikyam ,Unda and Now Maamangam",Non-sarcastic
മാമാങ്കത്തിന്റെ ഒപ്പം ഈ സിനിമ യുടെ ട്രയ്ലർ റും തിയേറ്ററിൽ അവതരിക്കും,Non-sarcastic
Dec 14 poraamm kodde kerre makaallle,Non-sarcastic
പോയി ഫെമിനിച്ചികൾ?  എവിടെ പോയി അമ്മ സംഘടനകൾ?  സത്യായിട്ടും കണ്ടിട്ട് സഹിക്കുന്നില്ല  കോടികൾ വാരുന്ന സിനിമ  സംഘടനകൾ ഇത്രയ്ക്കും മനുഷ്യത്വം ഇല്ലാത്തവരാണെന്ന് ഇപ്പൊ മനസ്സിലായി,Sarcastic
venomki Prithrajnte Assisntent Ayit.work chekk kurach divasam,Non-sarcastic
Makkale ith 2019 anu  Padathile adi kandappol thonniyatha,Non-sarcastic
All the best ikkaa nalloru padam avatte madura raja,Non-sarcastic
Dis like adikkan kure myranmar vannolum,Non-sarcastic
Vineeth pwolikkuvaanallo....pinne mmala kannurinde mwuth parayaanillla....thakartthhu,Non-sarcastic
Trailer കണ്ടശേഷം ഈ പാട്ട് കാണുമ്പോൾ ഇതിന് ശേഷം ഒരു അടാർ fight ഉണ്ടെന്ന് തോന്നുന്നു...,Sarcastic
Trailer മാരക അബദ്ധം ആണ്.. കിടു ആയി irakkam ആയിര്നു ട്രൈലെർ?,Non-sarcastic
Trailer crisp akaamayirunnu..too much aayi poyi..,Non-sarcastic
Moothon theateril poyi kanum ennulavur like idu,Non-sarcastic
Ho padam engaanum koluthumo ennoru pedi indayirunnu... ippozha oru samadhanam aayathu,Sarcastic
